credit_group,scope,age,credited_performer_years,retained_performer_years,forward_continuity_rate,baseline_rate,normalized_continuity
men-coded,television,48,4571,3728,0.815576460293153,0.797735259664194,1.02236481390639
men-coded,television,49,4388,3608,0.822242479489517,0.797735259664194,1.03072099362342
men-coded,television,50,4281,3466,0.809623919644943,0.797735259664194,1.01490301429794
men-coded,television,51,4010,3234,0.806483790523691,0.797735259664194,1.0109667095111
men-coded,television,52,3843,3132,0.814988290398127,0.797735259664194,1.02162751429741
men-coded,television,53,3712,2977,0.801993534482759,0.797735259664194,1.00533795487535
men-coded,television,54,3594,2844,0.791318864774624,0.797735259664194,0.991956736508964
men-coded,television,55,3338,2711,0.812162971839425,0.797735259664194,1.0180858398829
men-coded,television,56,3249,2598,0.799630655586334,0.797735259664194,1.00237597109966
men-coded,television,57,3013,2414,0.80119482243611,0.797735259664194,1.0043367304253
men-coded,television,58,2918,2300,0.788211103495545,0.797735259664194,0.988061006388688
men-coded,television,59,2712,2168,0.799410029498525,0.797735259664194,1.00209940555346
men-coded,television,60,2559,2002,0.782336850332161,0.797735259664194,0.980697343955293
men-coded,television,61,2379,1851,0.778058007566204,0.797735259664194,0.975333606156167
men-coded,television,62,2284,1734,0.759194395796848,0.797735259664194,0.951687150090909
men-coded,television,63,2127,1604,0.754113775270334,0.797735259664194,0.945318344820032
men-coded,television,64,1959,1452,0.741194486983155,0.797735259664194,0.929123387745403
men-coded,television,65,1747,1331,0.761877504293074,0.797735259664194,0.955050557266061
men-coded,television,66,1615,1223,0.757275541795666,0.797735259664194,0.949281773146696
men-coded,television,67,1492,1098,0.735924932975871,0.797735259664194,0.922517745154776
men-coded,television,68,1391,999,0.718188353702372,0.797735259664194,0.900284079212812
men-coded,television,69,1220,906,0.742622950819672,0.797735259664194,0.930914036734792
men-coded,television,70,1129,825,0.730735163861825,0.797735259664194,0.916012116813575
men-coded,television,71,1050,758,0.721904761904762,0.797735259664194,0.90494277789432
men-coded,television,72,953,670,0.703043022035677,0.797735259664194,0.881298668347219
men-coded,television,73,832,603,0.724759615384615,0.797735259664194,0.908521475770925
men-coded,television,74,714,511,0.715686274509804,0.797735259664194,0.897147601086445
men-coded,television,75,650,435,0.669230769230769,0.797735259664194,0.838913362701909
women-coded,television,18,1750,1395,0.797142857142857,0.793742805459628,1.00428356850587
women-coded,television,19,2082,1640,0.787704130643612,0.793742805459628,0.992392151746787
women-coded,television,20,2435,1951,0.801232032854209,0.793742805459628,1.00943533263302
women-coded,television,21,2919,2318,0.794107571085988,0.793742805459628,1.00045955141118
women-coded,television,22,3361,2671,0.794703957155608,0.793742805459628,1.00121091075014
women-coded,television,23,3845,3041,0.790897269180754,0.793742805459628,0.996415039910533
women-coded,television,24,4385,3476,0.792702394526796,0.793742805459628,0.998689234188107
women-coded,television,25,4656,3691,0.792740549828179,0.793742805459628,0.998737304294847
